Accession_number;Species_TaxID;Genus_TaxID;Family_TaxID;Order_TaxID;Class_TaxID;Phylum_TaxID
CP000360.1;658062;658061;204434;204433;204432;57723
CP000473.1;332163;332162;332161;332160;204432;57723
CP001472.1;33075;33973;204434;204433;204432;57723
CP002467.1;870903;392733;204434;204433;204432;57723
CP002480.1;940615;940557;204434;204433;204432;57723
CP002514.1;458033;458032;;;1562566;57723
CP003130.1;940614;940557;204434;204433;204432;57723
CP003379.1;392734;392733;204434;204433;204432;57723
AE016822.1;1575;110932;85023;85006;1760;201174
AE016958.1;1764;1763;1762;85007;1760;201174
AL450380.1;1769;1763;1762;85007;1760;201174
AL645882.2;1902;1883;2062;85011;1760;201174
AM408590.1;1773;1763;1762;85007;1760;201174
AM711867.1;28447;1573;85023;85006;1760;201174
AM849034.1;28447;1573;85023;85006;1760;201174
AM942444.1;43771;1716;1653;85007;1760;201174
AP006618.1;37329;1817;85025;85007;1760;201174
AP008957.1;1833;1827;85025;85007;1760;201174
AP009044.1;1718;1716;1653;85007;1760;201174
AP009256.1;1680;1678;31953;85004;1760;201174
AP010889.1;216816;1678;31953;85004;1760;201174
AP010918.1;1773;1763;1762;85007;1760;201174
AP010968.1;2066;2063;2062;85011;1760;201174
AP011115.1;37919;1827;85025;85007;1760;201174
AP011540.1;43675;32207;1268;85006;1760;201174
AP012057.1;467094;682522;2448023;84993;84992;201174
AP012204.1;29405;29404;31957;85009;1760;201174
AP012211.1;502558;84111;1643826;1643822;84998;201174
AP012340.1;1773;1763;1762;85007;1760;201174
BA000035.2;152794;1716;1653;85007;1760;201174
CM000636.1;1768;1763;1762;85007;1760;201174
CM000789.2;1773;1763;1762;85007;1760;201174
CP000088.1;2021;83677;83676;85012;1760;201174
CP000303.1;1685;1678;31953;85004;1760;201174
CP000325.1;1809;1763;1762;85007;1760;201174
CP000384.1;164756;1763;1762;85007;1760;201174
CP000386.1;49319;42255;84997;84996;84995;201174
CP000479.1;1764;1763;1762;85007;1760;201174
CP000481.1;28049;28048;85032;1643683;1760;201174
CP000509.1;196162;1839;85015;85009;1760;201174
CP000518.1;189918;1763;1762;85007;1760;201174
CP000580.1;164757;1763;1762;85007;1760;201174
CP000611.1;1773;1763;1762;85007;1760;201174
CP000656.1;1804;1866885;1762;85007;1760;201174
CP000667.1;168695;168694;28056;85008;1760;201174
CP000820.1;298653;1854;74712;85013;1760;201174
CP001095.1;216816;1678;31953;85004;1760;201174
CP001361.1;1681;1678;31953;85004;1760;201174
CP001601.1;169292;1716;1653;85007;1760;201174
CP001606.1;28025;1678;31953;85004;1760;201174
CP001618.1;84757;84756;125316;85006;1760;201174
CP001620.1;161879;1716;1653;85007;1760;201174
CP001684.1;84110;84108;1643826;1643822;84998;201174
CP001686.1;1276;57499;145357;85006;1760;201174
CP001700.1;304895;414878;414877;414714;1760;201174
CP001721.1;1382;1380;1643824;84999;84998;201174
CP001738.1;2020;2019;2012;85012;1760;201174
CP001750.1;1689;1678;31953;85004;1760;201174
CP001802.1;2054;2053;85026;85007;1760;201174
CP001819.1;60920;60919;145360;85006;1760;201174
CP001829.1;1719;1716;1653;85007;1760;201174
CP001849.1;2702;2701;31953;85004;1760;201174
CP001853.1;28025;1678;31953;85004;1760;201174
CP001854.1;191495;191494;320583;588673;1497346;201174
CP001874.1;2006;147067;;;1760;201174
CP001892.1;28025;1678;31953;85004;1760;201174
CP001964.1;1711;1707;85016;85006;1760;201174
CP001976.1;1773;1763;1762;85007;1760;201174
